ts	score	is_pf	is_pnl_pct	is_trades	oos_pf	oos_pnl_pct	oos_trades	status	description
20260710T101646	-15.0000	0.000	0.000	0	0.000	0.000	0	round_R1_zone_volume	rsi_short=55.0
20260710T101646	-15.0000	0.000	0.000	0	0.000	0.000	0	round_R1_zone_volume	left_bars=2
20260710T101647	-inf	0.000	0.000	0	0.000	0.000	0	round_R1_zone_volume	combo_id=soft_baseline, rsi_short=50.0
20260710T101647	-15.0000	0.000	0.000	0	0.000	0.000	0	round_R1_zone_volume	sl_atr=1.5, tp_atr=2.5
20260710T101648	-inf	0.000	0.000	0	0.000	0.000	0	round_R1_zone_volume	combo_id=soft_baseline, rsi_short=50.0
20260710T101648	-15.0000	0.000	0.000	0	0.000	0.000	0	round_R1_zone_volume	fib_timeframe=1d, right_bars=2
20260710T101648	-15.0000	0.000	0.000	0	0.000	0.000	0	round_R1_zone_volume	fib_zone=wide, tp_atr=2.5
20260710T101649	-15.0000	0.000	0.000	0	0.000	0.000	0	round_R1_zone_volume	fib_timeframe=4h, fib_zone=wide
20260710T101649	-15.0000	0.000	0.000	0	0.000	0.000	0	round_R1_zone_volume	one_entry_per_swing=True
20260710T101650	-inf	0.000	0.000	0	0.000	0.000	0	round_R1_zone_volume	combo_id=soft_baseline, tp_atr=2.0
20260710T101650	-15.0000	0.000	0.000	0	0.000	0.000	0	round_R1_zone_volume	one_entry_per_swing=False, rsi_short=55.0
20260710T101651	-15.0000	0.000	0.000	0	0.000	0.000	0	round_R1_zone_volume	require_candle=False, rsi_long=40.0
20260710T101651	-15.0000	0.000	0.000	0	0.000	0.000	0	round_R1_zone_volume	max_hold_bars=32
20260710T101652	-15.0000	0.000	0.000	0	0.000	0.000	0	round_R1_zone_volume	tp_atr=2.0
20260710T101652	-15.0000	0.000	0.000	0	0.000	0.000	0	round_R1_zone_volume	require_candle=False, rsi_long=45.0
20260710T101653	-15.0000	0.000	0.000	0	0.000	0.000	0	round_R1_zone_volume	fib_zone=shallow, fib_zone=mid
20260710T101653	-15.0000	0.000	0.000	0	0.000	0.000	0	round_R1_zone_volume	fib_timeframe=1d
20260710T101654	-inf	0.000	0.000	0	0.000	0.000	0	round_R1_zone_volume	combo_id=soft_baseline
20260710T101654	-15.0000	0.000	0.000	0	0.000	0.000	0	round_R1_zone_volume	tp_atr=2.0, atr_period=14
20260710T101655	-15.0000	0.000	0.000	0	0.000	0.000	0	round_R1_zone_volume	rsi_long=45.0, tp_atr=2.5
20260710T101655	-15.0000	0.000	0.000	0	0.000	0.000	0	round_R1_zone_volume	fib_zone=golden
20260710T101656	-15.0000	0.000	0.000	0	0.000	0.000	0	round_R1_zone_volume	require_candle=True
20260710T101656	-15.0000	0.000	0.000	0	0.000	0.000	0	round_R1_zone_volume	max_hold_bars=96
20260710T101657	-15.0000	0.000	0.000	0	0.000	0.000	0	round_R1_zone_volume	sl_atr=2.5
20260710T101657	-15.0000	0.000	0.000	0	0.000	0.000	0	round_R1_zone_volume	require_candle=False, right_bars=5
20260710T101658	-inf	0.000	0.000	0	0.000	0.000	0	round_R1_zone_volume	combo_id=soft_avwap
20260710T101658	-15.0000	0.000	0.000	0	0.000	0.000	0	round_R1_zone_volume	fib_timeframe=4h
20260710T101659	-inf	0.000	0.000	0	0.000	0.000	0	round_R1_zone_volume	combo_id=soft_baseline
20260710T101659	-15.0000	0.000	0.000	0	0.000	0.000	0	round_R1_zone_volume	fib_timeframe=4h
20260710T101700	-15.0000	0.000	0.000	0	0.000	0.000	0	round_R1_zone_volume	rsi_short=55.0
20260710T101700	-15.0000	0.000	0.000	0	0.000	0.000	0	round_R1_zone_volume	fib_timeframe=1d
20260710T101701	-15.0000	0.000	0.000	0	0.000	0.000	0	round_R1_zone_volume	one_entry_per_swing=False
20260710T101701	-15.0000	0.000	0.000	0	0.000	0.000	0	round_R1_zone_volume	rsi_short=60.0
20260710T101702	-15.0000	0.000	0.000	0	0.000	0.000	0	round_R1_zone_volume	max_hold_bars=64
20260710T101702	-15.0000	0.000	0.000	0	0.000	0.000	0	round_R1_zone_volume	sl_atr=2.0
